,Contributors,Coordinates,Created_At,Favorited,Followers_Count,Friends_Count,Geo,Location,Place,Retweet_Count,Retweeted,Screen_Name,Source,Truncated,Tweet,TweetId,UserId
22,,,2018-01-25 16:38:27,0.0,698.0,241.0,,Doing the freefall.,,2710.0,0.0,lilithinmymind,Twitter Web Client,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565669486864138e+17,636981261.0
23,,,2018-01-25 16:38:23,0.0,65.0,91.0,,i don't even know,,2710.0,0.0,_Da_goat_,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565669327440159e+17,3613381702.0
24,,,2018-01-25 16:38:04,0.0,75.0,637.0,,Neverland,,2710.0,0.0,Joanna_Original,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565668517310259e+17,787935680.0
25,,,2018-01-25 16:37:56,0.0,229.0,412.0,,,,2710.0,0.0,LustForVillainy,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565668179039724e+17,1728350293.0
26,,,2018-01-25 16:37:52,0.0,3385.0,1042.0,,"Amsterdam, The Netherlands",,2710.0,0.0,hatershatesAREA,Twitter Web Client,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565668021751153e+17,417952451.0
27,,,2018-01-25 16:37:48,0.0,212.0,153.0,,Thailand,,2710.0,0.0,Tangmo_bt,Twitter for iPhone,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565667851085824e+17,301460643.0
28,,,2018-01-25 16:37:40,0.0,269.0,1009.0,,In a galaxy far far away,,2710.0,0.0,Stark0fAsgard,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565667526741402e+17,9.028110650330849e+17
29,,,2018-01-25 16:37:31,0.0,507.0,825.0,,,,2710.0,0.0,R_INK,Twitter for iPhone,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565667149882163e+17,153009344.0
30,,,2018-01-25 16:37:30,0.0,222.0,269.0,,,,2710.0,0.0,lulumizzy,Twitter for iPhone,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565667088394281e+17,1142817337.0
31,,,2018-01-25 16:37:24,0.0,64.0,984.0,,???,,2710.0,0.0,shor40,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565666864669573e+17,931369920.0
32,,,2018-01-25 16:37:07,0.0,479.0,258.0,,Quindecim,,2710.0,0.0,mycatluffyrules,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565666151890657e+17,433644031.0
33,,,2018-01-25 16:36:59,0.0,3.0,44.0,,,,2710.0,0.0,rmk_sugar,Twitter for Android,0.0,"RT @HiddlesPage: It's a family thing! ??
#ThorRagnarok #Thorsday https://t.co/7MuTKdS3VD",9.565665807537193e+17,8.193884527434301e+17
